Accession	Description	Gene Symbol	Abundance_811269 	Abundance_811270 	Abundance_811271 	cytoplasm	nucleus
Q5QPL9	RNA-binding protein Raly (Fragment) OS=Homo sapiens OX=9606 GN=RALY PE=1 SV=1	RALY	5.67026	5.55098	6.60273	-0.119273	0.932478
Q16629	Serine/arginine-rich splicing factor 7 OS=Homo sapiens OX=9606 GN=SRSF7 PE=1 SV=1	SRSF7	5.51057	6.53504	6.41762	1.02447	0.907054
A0A087X2D0	Serine/arginine-rich-splicing factor 3 OS=Homo sapiens OX=9606 GN=SRSF3 PE=1 SV=1		5.58452	6.42101	5.98188	0.836491	0.397366
P40227	T-complex protein 1 subunit zeta OS=Homo sapiens OX=9606 GN=CCT6A PE=1 SV=3	CCT6A	4.94618	6.92797	5.78175	1.98179	0.83557
A0A590UK80	Uncharacterized protein (Fragment) OS=Homo sapiens OX=9606 PE=4 SV=1		5.77387	6.66561	6.8583	0.891737	1.08443
Q04917	14-3-3 protein eta OS=Homo sapiens OX=9606 GN=YWHAH PE=1 SV=4	YWHAH	4.23746	6.08067	5.16625	1.84321	0.928797
Q99714	3-hydroxyacyl-CoA dehydrogenase type-2 OS=Homo sapiens OX=9606 GN=HSD17B10 PE=1 SV=3	HSD17B10	4.7925	6.44961	4.75794	1.6571	-0.0345633
A0A0G2JQH2	40S ribosomal protein S18 OS=Homo sapiens OX=9606 GN=RPS18 PE=1 SV=1		4.52478	5.85208	4.84295	1.32729	0.318172
K7EMH1	60S ribosomal protein L22 (Fragment) OS=Homo sapiens OX=9606 GN=RPL22 PE=1 SV=1		5.53286	3	3	-2.53286	-2.53286
H7C2W9	60S ribosomal protein L31 (Fragment) OS=Homo sapiens OX=9606 GN=RPL31 PE=1 SV=1		6.21607	6.86541	5.48156	0.649347	-0.734512
A0A2R8Y6J3	60S ribosomal protein L5 (Fragment) OS=Homo sapiens OX=9606 GN=RPL5 PE=1 SV=1		6.20879	6.72133	5.86174	0.51255	-0.34705
P26232	Catenin alpha-2 OS=Homo sapiens OX=9606 GN=CTNNA2 PE=1 SV=5	CTNNA2	4.55337	6.25579	3	1.70241	-1.55337
Q86VP6	Cullin-associated NEDD8-dissociated protein 1 OS=Homo sapiens OX=9606 GN=CAND1 PE=1 SV=2	CAND1	3	5.95316	5.9289	2.95316	2.9289
O60884	DnaJ homolog subfamily A member 2 OS=Homo sapiens OX=9606 GN=DNAJA2 PE=1 SV=1	DNAJA2	5.57884	6.80234	6.47612	1.22349	0.897273
Q15717	ELAV-like protein 1 OS=Homo sapiens OX=9606 GN=ELAVL1 PE=1 SV=2	ELAVL1	5.17124	5.91003	6.60955	0.73879	1.4383
Q14254	Flotillin-2 OS=Homo sapiens OX=9606 GN=FLOT2 PE=1 SV=2	FLOT2	5.98295	5.46092	5.19748	-0.522029	-0.785464
Q14112	Nidogen-2 OS=Homo sapiens OX=9606 GN=NID2 PE=1 SV=3	NID2	5.61802	6.65734	5.92401	1.03933	0.30599
F5GY37	Prohibitin OS=Homo sapiens OX=9606 GN=PHB2 PE=1 SV=1		5.56103	6.60051	5.50589	1.03949	-0.0551381
P12004	Proliferating cell nuclear antigen OS=Homo sapiens OX=9606 GN=PCNA PE=1 SV=1	PCNA	5.04744	6.29366	5.53631	1.24622	0.488874
P30101	Protein disulfide-isomerase A3 OS=Homo sapiens OX=9606 GN=PDIA3 PE=1 SV=4	PDIA3	5.19801	6.8778	5.67208	1.67979	0.474068
Q13045	Protein flightless-1 homolog OS=Homo sapiens OX=9606 GN=FLII PE=1 SV=2	FLII	4.75547	6.52579	4.08997	1.77032	-0.665502
Q15437	Protein transport protein Sec23B OS=Homo sapiens OX=9606 GN=SEC23B PE=1 SV=2	SEC23B	4.08363	5.8721	5.37389	1.78846	1.29026
Q92900	Regulator of nonsense transcripts 1 OS=Homo sapiens OX=9606 GN=UPF1 PE=1 SV=2	UPF1	3.53938	6.64106	4.61173	3.10169	1.07236
A0A1P0AYU5	Sidoreflexin OS=Homo sapiens OX=9606 GN=SFXN3 PE=1 SV=1	SFXN3	4.92892	6.40365	5.10799	1.47473	0.179068
Q14683	Structural maintenance of chromosomes protein 1A OS=Homo sapiens OX=9606 GN=SMC1A PE=1 SV=2	SMC1A	4.18567	5.71795	5.92133	1.53228	1.73566
P09012	U1 small nuclear ribonucleoprotein A OS=Homo sapiens OX=9606 GN=SNRPA PE=1 SV=3	SNRPA	6.04695	6.30053	5.65235	0.253583	-0.3946
P62266	40S ribosomal protein S23 OS=Homo sapiens OX=9606 GN=RPS23 PE=1 SV=3	RPS23	6.0352	6.92761	5.73192	0.892407	-0.303284
M0R0F0	40S ribosomal protein S5 (Fragment) OS=Homo sapiens OX=9606 GN=RPS5 PE=1 SV=1		5.82378	6.88348	5.9607	1.05971	0.136925
P06576	ATP synthase subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3	ATP5B	4.26496	6.27258	5.86408	2.00761	1.59912
Q9NVI7	ATPase family AAA domain-containing protein 3A OS=Homo sapiens OX=9606 GN=ATAD3A PE=1 SV=2	ATAD3A	5.63168	6.66935	5.36778	1.03767	-0.263897
P16278	Beta-galactosidase OS=Homo sapiens OX=9606 GN=GLB1 PE=1 SV=2	GLB1	3	6.86085	3	3.86085	0
O75976	Carboxypeptidase D OS=Homo sapiens OX=9606 GN=CPD PE=1 SV=2	CPD	3	6.31441	4.4241	3.31441	1.4241
Q76M96	Coiled-coil domain-containing protein 80 OS=Homo sapiens OX=9606 GN=CCDC80 PE=1 SV=1	CCDC80	3	6.37447	5.91079	3.37447	2.91079
P21127	Cyclin-dependent kinase 11B OS=Homo sapiens OX=9606 GN=CDK11B PE=1 SV=4		4.61509	6.63331	5.68013	2.01822	1.06505
P49792	E3 SUMO-protein ligase RanBP2 OS=Homo sapiens OX=9606 GN=RANBP2 PE=1 SV=2	RANBP2	4.87744	6.26866	5.04779	1.39121	0.170345
Q14258	E3 ubiquitin/ISG15 ligase TRIM25 OS=Homo sapiens OX=9606 GN=TRIM25 PE=1 SV=2	TRIM25	4.8989	6.61763	3	1.71873	-1.8989
Q92616	eIF-2-alpha kinase activator GCN1 OS=Homo sapiens OX=9606 GN=GCN1 PE=1 SV=6	GCN1L1; GCN1	4.45015	5.99486	5.20677	1.54471	0.756621
Q9BQS8	FYVE and coiled-coil domain-containing protein 1 OS=Homo sapiens OX=9606 GN=FYCO1 PE=1 SV=3	FYCO1	3.70866	6.32332	4.67719	2.61466	0.96853
Q9P2D3	HEAT repeat-containing protein 5B OS=Homo sapiens OX=9606 GN=HEATR5B PE=1 SV=2	HEATR5B	5.75459	6.26106	3	0.506474	-2.75459
F8W6I7	Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=2		4.76578	4.83543	6.31578	0.0696463	1.55
P14866	Heterogeneous nuclear ribonucleoprotein L OS=Homo sapiens OX=9606 GN=HNRNPL PE=1 SV=2	HNRNPL	5.62664	5.27126	6.72968	-0.35538	1.10305
B4DY09	Interleukin enhancer-binding factor 2 OS=Homo sapiens OX=9606 GN=ILF2 PE=1 SV=1	ILF2	5.34731	5.93943	6.7533	0.592121	1.40599
O75096	Low-density lipoprotein receptor-related protein 4 OS=Homo sapiens OX=9606 GN=LRP4 PE=1 SV=4	LRP4	3	6.62311	4.6466	3.62311	1.6466
A8MXP9	Matrin-3 OS=Homo sapiens OX=9606 GN=MATR3 PE=1 SV=1		5.73604	6.16143	6.44524	0.425391	0.709208
Q13615	Myotubularin-related protein 3 OS=Homo sapiens OX=9606 GN=MTMR3 PE=1 SV=3	MTMR3	4.79668	6.3015	3	1.50482	-1.79668
Q9H307	Pinin OS=Homo sapiens OX=9606 GN=PNN PE=1 SV=5		4.04935	5.22586	6.39911	1.17651	2.34977
O00469	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 OS=Homo sapiens OX=9606 GN=PLOD2 PE=1 SV=2	PLOD2	5.21644	6.53818	4.97736	1.32174	-0.239078
Q96MG8	Protein-L-isoaspartate O-methyltransferase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=PCMTD1 PE=1 SV=2	PCMTD1	5.8485	6.82701	4.2458	0.97851	-1.6027
O15020	Spectrin beta chain, non-erythrocytic 2 OS=Homo sapiens OX=9606 GN=SPTBN2 PE=1 SV=3	SPTBN2	3	5.44201	3	2.44201	0
Q13838	Spliceosome RNA helicase DDX39B OS=Homo sapiens OX=9606 GN=DDX39B PE=1 SV=1	DDX39B	5.37683	6.00784	6.60897	0.631018	1.23215
P26368	Splicing factor U2AF 65 kDa subunit OS=Homo sapiens OX=9606 GN=U2AF2 PE=1 SV=4	U2AF2	5.58952	6.11586	6.043	0.526336	0.453479
Q9UQE7	Structural maintenance of chromosomes protein 3 OS=Homo sapiens OX=9606 GN=SMC3 PE=1 SV=2	SMC3	4.52655	4.74781	5.95183	0.221254	1.42527
O75962	Triple functional domain protein OS=Homo sapiens OX=9606 GN=TRIO PE=1 SV=2	TRIO	4.37286	6.42473	3	2.05188	-1.37286
P60866	40S ribosomal protein S20 OS=Homo sapiens OX=9606 GN=RPS20 PE=1 SV=1	RPS20	4.87848	7.1168	5.51196	2.23832	0.633471
P05387	60S acidic ribosomal protein P2 OS=Homo sapiens OX=9606 GN=RPLP2 PE=1 SV=1	RPLP2	5.85462	6.29873	5.7729	0.444113	-0.0817105
P84098	60S ribosomal protein L19 OS=Homo sapiens OX=9606 GN=RPL19 PE=1 SV=1	RPL19	6.5612	6.6391	6.15874	0.0778978	-0.402463
O95782	AP-2 complex subunit alpha-1 OS=Homo sapiens OX=9606 GN=AP2A1 PE=1 SV=3	AP2A1	4.79261	5.99283	5.52239	1.20023	0.729782
O95831	Apoptosis-inducing factor 1, mitochondrial OS=Homo sapiens OX=9606 GN=AIFM1 PE=1 SV=1	AIFM1	5.3872	6.54242	5.22444	1.15523	-0.162752
Q9NWB6	Arginine and glutamate-rich protein 1 OS=Homo sapiens OX=9606 GN=ARGLU1 PE=1 SV=1	ARGLU1	5.76816	6.0263	6.84749	0.258144	1.07933
Q12797	Aspartyl/asparaginyl beta-hydroxylase OS=Homo sapiens OX=9606 GN=ASPH PE=1 SV=3	ASPH	5.27416	6.53604	4.43439	1.26188	-0.839767
Q96S55	ATPase WRNIP1 OS=Homo sapiens OX=9606 GN=WRNIP1 PE=1 SV=2	WRNIP1	4.55278	6.57452	5.00585	2.02174	0.453065
O00571	ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X PE=1 SV=3	DDX3X	4.25811	6.48352	5.53762	2.22541	1.27951
O75746	Calcium-binding mitochondrial carrier protein Aralar1 OS=Homo sapiens OX=9606 GN=SLC25A12 PE=1 SV=2	SLC25A12	4.09579	6.38722	4.02191	2.29142	-0.0738868
Q15417	Calponin-3 OS=Homo sapiens OX=9606 GN=CNN3 PE=1 SV=1	CNN3	3	6.9845	5.58466	3.9845	2.58466
Q6NZI2	Caveolae-associated protein 1 OS=Homo sapiens OX=9606 GN=CAVIN1 PE=1 SV=1	PTRF; CAVIN1	4.24918	6.34839	4.45277	2.09921	0.203596
P35606	Coatomer subunit beta' OS=Homo sapiens OX=9606 GN=COPB2 PE=1 SV=2	COPB2	5.40844	6.78759	5.04385	1.37915	-0.364589
B3KS98	Eukaryotic translation initiation factor 3 subunit H OS=Homo sapiens OX=9606 GN=EIF3H PE=1 SV=1	EIF3H	3.7496	6.79525	4.99621	3.04565	1.24661
Q9Y5B9	FACT complex subunit SPT16 OS=Homo sapiens OX=9606 GN=SUPT16H PE=1 SV=1	SUPT16H	4.21739	6.17656	5.36681	1.95918	1.14942
P47755	F-actin-capping protein subunit alpha-2 OS=Homo sapiens OX=9606 GN=CAPZA2 PE=1 SV=3	CAPZA2	4.21681	6.37514	5.00437	2.15833	0.787559
P49327	Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3	FASN	4.0287	6.12182	5.86344	2.09312	1.83474
H0Y8G5	Heterogeneous nuclear ribonucleoprotein D0 (Fragment) OS=Homo sapiens OX=9606 GN=HNRNPD PE=1 SV=8		4.12236	6.03458	6.97041	1.91222	2.84805
O43390	Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens OX=9606 GN=HNRNPR PE=1 SV=1	HNRNPR	4.5177	3	5.5209	-1.5177	1.0032
Q1KMD3	Heterogeneous nuclear ribonucleoprotein U-like protein 2 OS=Homo sapiens OX=9606 GN=HNRNPUL2 PE=1 SV=1	HNRNPUL2	4.63699	5.97377	6.27504	1.33678	1.63805
H0Y8C6	Importin-5 (Fragment) OS=Homo sapiens OX=9606 GN=IPO5 PE=1 SV=1		3.94039	5.73022	5.49531	1.78983	1.55492
Q9Y4H2	Insulin receptor substrate 2 OS=Homo sapiens OX=9606 GN=IRS2 PE=1 SV=2	IRS2	5.96475	6.50326	6.99261	0.538506	1.02786
P61626	Lysozyme C OS=Homo sapiens OX=9606 GN=LYZ PE=1 SV=1	LYZ	4.13937	6.12335	6.33382	1.98399	2.19445
Q9Y4K0	Lysyl oxidase homolog 2 OS=Homo sapiens OX=9606 GN=LOXL2 PE=1 SV=1	LOXL2	3	6.45616	4.32364	3.45616	1.32364
H7C463	MICOS complex subunit MIC60 (Fragment) OS=Homo sapiens OX=9606 GN=IMMT PE=1 SV=1		5.6706	6.28218	4.61536	0.611576	-1.05524
Q9BU76	Multiple myeloma tumor-associated protein 2 OS=Homo sapiens OX=9606 GN=MMTAG2 PE=1 SV=1	C1orf35	4.71529	5.01069	6.34997	0.295399	1.63468
Q01085	Nucleolysin TIAR OS=Homo sapiens OX=9606 GN=TIAL1 PE=1 SV=1	TIAL1	4.52095	6.22315	5.96991	1.7022	1.44896
Q9Y5B6	PAX3- and PAX7-binding protein 1 OS=Homo sapiens OX=9606 GN=PAXBP1 PE=1 SV=2	GCFC1; PAXBP1	3	5.69866	6.0787	2.69866	3.0787
P46019	Phosphorylase b kinase regulatory subunit alpha, liver isoform OS=Homo sapiens OX=9606 GN=PHKA2 PE=1 SV=1	PHKA2	3	6.5043	3	3.5043	0
A0A2C9F2R7	Protein furry homolog-like (Fragment) OS=Homo sapiens OX=9606 GN=FRYL PE=1 SV=1		3	5.9152	3	2.9152	0
Q9NQ29	Putative RNA-binding protein Luc7-like 1 OS=Homo sapiens OX=9606 GN=LUC7L PE=1 SV=1	LUC7L	5.03106	5.13703	4.90893	0.105967	-0.122133
Q9P2E9	Ribosome-binding protein 1 OS=Homo sapiens OX=9606 GN=RRBP1 PE=1 SV=5		5.48056	5.10335	3	-0.377213	-2.48056
Q9Y3I0	RNA-splicing ligase RtcB homolog OS=Homo sapiens OX=9606 GN=RTCB PE=1 SV=1	C22orf28; RTCB	4.90631	6.3906	5.39346	1.48429	0.487142
Q13501	Sequestosome-1 OS=Homo sapiens OX=9606 GN=SQSTM1 PE=1 SV=1	SQSTM1	3.85525	6.85417	3	2.99892	-0.855248
Q8IYB3	Serine/arginine repetitive matrix protein 1 OS=Homo sapiens OX=9606 GN=SRRM1 PE=1 SV=2	SRRM1	4.84373	5.68679	5.87424	0.843055	1.03051
Q5T760	Serine/arginine-rich-splicing factor 11 (Fragment) OS=Homo sapiens OX=9606 GN=SRSF11 PE=1 SV=1	SRSF11	5.85533	6.61203	5.97523	0.7567	0.1199
Q13523	Serine/threonine-protein kinase PRP4 homolog OS=Homo sapiens OX=9606 GN=PRPF4B PE=1 SV=3	PRPF4B	4.25126	5.05877	6.18885	0.807513	1.93759
Q9UPN7	Serine/threonine-protein phosphatase 6 regulatory subunit 1 OS=Homo sapiens OX=9606 GN=PPP6R1 PE=1 SV=5	PPP6R1	4.00178	6.57899	3	2.5772	-1.00178
O75170	Serine/threonine-protein phosphatase 6 regulatory subunit 2 OS=Homo sapiens OX=9606 GN=PPP6R2 PE=1 SV=2	PPP6R2	3	6.51792	3	3.51792	0
Q01081	Splicing factor U2AF 35 kDa subunit OS=Homo sapiens OX=9606 GN=U2AF1 PE=1 SV=3	U2AF1; LOC102724594; U2AF1L5	6.35348	6.38442	5.99044	0.0309355	-0.363044
Q13263	Transcription intermediary factor 1-beta OS=Homo sapiens OX=9606 GN=TRIM28 PE=1 SV=5	TRIM28	3	5.96843	5.19495	2.96843	2.19495
Q13428	Treacle protein OS=Homo sapiens OX=9606 GN=TCOF1 PE=1 SV=3	TCOF1	5.30172	4.42641	5.77011	-0.875314	0.468382
O43242	26S proteasome non-ATPase regulatory subunit 3 OS=Homo sapiens OX=9606 GN=PSMD3 PE=1 SV=2	PSMD3	4.2417	6.01907	5.34791	1.77737	1.10621
P46783	40S ribosomal protein S10 OS=Homo sapiens OX=9606 GN=RPS10 PE=1 SV=1	RPS10	5.21641	6.89275	4.95864	1.67634	-0.257773
P25398	40S ribosomal protein S12 OS=Homo sapiens OX=9606 GN=RPS12 PE=1 SV=3	RPS12	5.22619	6.59372	5.1194	1.36753	-0.106789
P39019	40S ribosomal protein S19 OS=Homo sapiens OX=9606 GN=RPS19 PE=1 SV=2	RPS19	5.75267	6.60553	5.06176	0.852858	-0.690904
P62854	40S ribosomal protein S26 OS=Homo sapiens OX=9606 GN=RPS26 PE=1 SV=3	RPS26; LOC101929876; RPS26P25	6.38081	7.57311	5.8	1.1923	-0.580812
A0A3B3ITT5	60S ribosomal protein L29 OS=Homo sapiens OX=9606 GN=RPL29 PE=1 SV=1		6.1575	6.35184	5.79284	0.19434	-0.364661
P63173	60S ribosomal protein L38 OS=Homo sapiens OX=9606 GN=RPL38 PE=1 SV=2	RPL38	4.80143	6.13086	4.84959	1.32943	0.048156
Q9UKV3	Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens OX=9606 GN=ACIN1 PE=1 SV=2	ACIN1	3.8776	4.50091	6.10216	0.623312	2.22457
Q01813	ATP-dependent 6-phosphofructokinase, platelet type OS=Homo sapiens OX=9606 GN=PFKP PE=1 SV=2	PFKP	5.52168	6.46736	5.86201	0.945682	0.340331
Q8IW35	Centrosomal protein of 97 kDa OS=Homo sapiens OX=9606 GN=CEP97 PE=1 SV=1	CEP97	4.33145	6.42086	4.51715	2.08941	0.185696
A0A087WTA8	Collagen alpha-2(I) chain OS=Homo sapiens OX=9606 GN=COL1A2 PE=1 SV=1		6.40122	6.17772	6.38972	-0.223499	-0.0115009
Q7L576	Cytoplasmic FMR1-interacting protein 1 OS=Homo sapiens OX=9606 GN=CYFIP1 PE=1 SV=1	CYFIP1	3.93019	6.14564	5.39036	2.21546	1.46017
F8W9J4	Dystonin OS=Homo sapiens OX=9606 GN=DST PE=1 SV=1	DST	3	5.96778	4.2119	2.96778	1.2119
Q7Z6E9	E3 ubiquitin-protein ligase RBBP6 OS=Homo sapiens OX=9606 GN=RBBP6 PE=1 SV=1	RBBP6	3	3	6.08589	0	3.08589
O95163	Elongator complex protein 1 OS=Homo sapiens OX=9606 GN=ELP1 PE=1 SV=3	IKBKAP; ELP1	3	6.22526	4.71716	3.22526	1.71716
Q05397	Focal adhesion kinase 1 OS=Homo sapiens OX=9606 GN=PTK2 PE=1 SV=2	PTK2	4.17348	6.52012	4.37149	2.34665	0.198012
B5MDF5	GTP-binding nuclear protein Ran OS=Homo sapiens OX=9606 GN=RAN PE=1 SV=1	RAN	5.28541	6.4223	6.37826	1.13689	1.09286
Q5JR04	Helicase MOV-10 OS=Homo sapiens OX=9606 GN=MOV10 PE=1 SV=1	MOV10	4.97577	6.27005	5.48447	1.29428	0.508705
Q5SSJ5	Heterochromatin protein 1-binding protein 3 OS=Homo sapiens OX=9606 GN=HP1BP3 PE=1 SV=1	HP1BP3	5.9297	6.01211	5.85442	0.082408	-0.0752786
D6RBZ0	Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens OX=9606 GN=HNRNPAB PE=1 SV=1		4.79495	3	6.2683	-1.79495	1.47334
P51991	Heterogeneous nuclear ribonucleoprotein A3 OS=Homo sapiens OX=9606 GN=HNRNPA3 PE=1 SV=2	HNRNPA3	3.73883	5.86153	6.52011	2.1227	2.78128
Q9Y6M1	Insulin-like growth factor 2 mRNA-binding protein 2 OS=Homo sapiens OX=9606 GN=IGF2BP2 PE=1 SV=2	IGF2BP2	4.97033	6.44557	3	1.47524	-1.97033
P48735	Isocitrate dehydrogenase [NADP], mitochondrial OS=Homo sapiens OX=9606 GN=IDH2 PE=1 SV=2	IDH2	4.77492	6.09357	5.85885	1.31865	1.08393
E7EQB2	Lactotransferrin (Fragment) OS=Homo sapiens OX=9606 GN=LTF PE=1 SV=1		3	5.98788	5.98152	2.98788	2.98152
P00338	L-lactate dehydrogenase A chain OS=Homo sapiens OX=9606 GN=LDHA PE=1 SV=2	LDHA	5.19388	6.50136	5.52024	1.30748	0.326354
P05455	Lupus La protein OS=Homo sapiens OX=9606 GN=SSB PE=1 SV=2	SSB	4.83426	6.39797	3	1.56372	-1.83426
Q5H909	Melanoma-associated antigen D2 OS=Homo sapiens OX=9606 GN=MAGED2 PE=1 SV=2	MAGED2	4.80965	6.39157	5.16232	1.58192	0.352673
P27816	Microtubule-associated protein 4 OS=Homo sapiens OX=9606 GN=MAP4 PE=1 SV=3	MAP4	4.36547	5.98079	3	1.61532	-1.36547
O14950	Myosin regulatory light chain 12B OS=Homo sapiens OX=9606 GN=MYL12B PE=1 SV=2	MYL12B; MYL12A	5.35705	6.48545	5.40936	1.1284	0.0523103
A0A087WY61	Nuclear mitotic apparatus protein 1 OS=Homo sapiens OX=9606 GN=NUMA1 PE=1 SV=1		4.9664	3	4.61597	-1.9664	-0.350422
P06748	Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2	NPM1	6.0434	5.838	5.78596	-0.205398	-0.257437
F6VDE0	Probable global transcription activator SNF2L2 OS=Homo sapiens OX=9606 GN=SMARCA2 PE=1 SV=2	SMARCA2	3.95531	5.73538	5.87703	1.78007	1.92173
E7ESE2	Prohibitin (Fragment) OS=Homo sapiens OX=9606 GN=PHB PE=1 SV=2		4.9389	6.44397	5.20666	1.50507	0.26776
Q8IZL8	Proline-, glutamic acid- and leucine-rich protein 1 OS=Homo sapiens OX=9606 GN=PELP1 PE=1 SV=2	PELP1	3	3	6.08332	0	3.08332
Q8N9G1	Protein transport protein Sec16A OS=Homo sapiens OX=9606 GN=SEC16A PE=1 SV=1	SEC16A	3.83421	5.43361	3	1.5994	-0.834212
O00743	Serine/threonine-protein phosphatase 6 catalytic subunit OS=Homo sapiens OX=9606 GN=PPP6C PE=1 SV=1	PPP6C	3	7.13409	4.36471	4.13409	1.36471
O76094	Signal recognition particle subunit SRP72 OS=Homo sapiens OX=9606 GN=SRP72 PE=1 SV=3	SRP72	5.48383	6.31476	4.93946	0.830923	-0.544373
P62318	Small nuclear ribonucleoprotein Sm D3 OS=Homo sapiens OX=9606 GN=SNRPD3 PE=1 SV=1	SNRPD3	6.12527	6.68242	6.21116	0.557153	0.0858865
Q9Y2W1	Thyroid hormone receptor-associated protein 3 OS=Homo sapiens OX=9606 GN=THRAP3 PE=1 SV=2	THRAP3	5.53787	6.23313	5.98698	0.695263	0.44911
H0YFD6	Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=HADHA PE=1 SV=2		5.07546	6.49023	4.9316	1.41477	-0.143855
Q9NXH9	tRNA (guanine(26)-N(2))-dimethyltransferase OS=Homo sapiens OX=9606 GN=TRMT1 PE=1 SV=1	TRMT1	5.31936	6.20688	6.14272	0.887522	0.823361
A0A0A0MR02	Voltage-dependent anion-selective channel protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=VDAC2 PE=1 SV=1	VDAC2	5.24573	6.18016	5.31321	0.934423	0.0674776
Q9NQH7	Xaa-Pro aminopeptidase 3 OS=Homo sapiens OX=9606 GN=XPNPEP3 PE=1 SV=1	XPNPEP3	4.13831	6.40206	3	2.26375	-1.13831
P12956	X-ray repair cross-complementing protein 6 OS=Homo sapiens OX=9606 GN=XRCC6 PE=1 SV=2	XRCC6	4.2738	6.19889	5.48077	1.92509	1.20696
P16989	Y-box-binding protein 3 OS=Homo sapiens OX=9606 GN=YBX3 PE=1 SV=4	CSDA; YBX3	4.29756	5.81791	3	1.52035	-1.29756
Q96DV4	39S ribosomal protein L38, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL38 PE=1 SV=2	MRPL38	3	6.16324	5.1915	3.16324	2.1915
E5RI99	60S ribosomal protein L30 (Fragment) OS=Homo sapiens OX=9606 GN=RPL30 PE=1 SV=1		6.15413	6.41605	5.88824	0.261925	-0.265883
P32969	60S ribosomal protein L9 OS=Homo sapiens OX=9606 GN=RPL9 PE=1 SV=1	RPL9	4.67506	6.20863	5.31303	1.53356	0.637967
P53999	Activated RNA polymerase II transcriptional coactivator p15 OS=Homo sapiens OX=9606 GN=SUB1 PE=1 SV=3	SUB1	5.38791	6.18564	4.94155	0.79773	-0.446359
P13798	Acylamino-acid-releasing enzyme OS=Homo sapiens OX=9606 GN=APEH PE=1 SV=4	APEH	4.81287	6.45243	4.54194	1.63956	-0.270922
C9JPM4	ADP-ribosylation factor 4 (Fragment) OS=Homo sapiens OX=9606 GN=ARF4 PE=1 SV=1		5.52743	6.47415	5.52735	0.94672	-8.82459e-05
Q9ULX6	A-kinase anchor protein 8-like OS=Homo sapiens OX=9606 GN=AKAP8L PE=1 SV=4	AKAP8L	4.51505	6.76253	5.43405	2.24747	0.919
O00116	Alkyldihydroxyacetonephosphate synthase, peroxisomal OS=Homo sapiens OX=9606 GN=AGPS PE=1 SV=1	AGPS	4.68767	5.65638	4.3859	0.968708	-0.301771
Q9NVD7	Alpha-parvin OS=Homo sapiens OX=9606 GN=PARVA PE=1 SV=1	PARVA	6.33473	6.02117	4.40573	-0.313567	-1.929
A0A0G2JS82	AP-2 complex subunit alpha-2 (Fragment) OS=Homo sapiens OX=9606 GN=AP2A2 PE=1 SV=1		3	5.33394	4.56209	2.33394	1.56209
Q96CW1	AP-2 complex subunit mu OS=Homo sapiens OX=9606 GN=AP2M1 PE=1 SV=2	AP2M1	4.4737	6.24575	5.72126	1.77205	1.24757
Q7L4I2	Arginine/serine-rich coiled-coil protein 2 OS=Homo sapiens OX=9606 GN=RSRC2 PE=1 SV=1	RSRC2	5.13922	6.12026	5.23491	0.981034	0.0956895
Q9BQ39	ATP-dependent RNA helicase DDX50 OS=Homo sapiens OX=9606 GN=DDX50 PE=1 SV=1	DDX50	4.93807	3	5.27685	-1.93807	0.338774
P19022	Cadherin-2 OS=Homo sapiens OX=9606 GN=CDH2 PE=1 SV=4	CDH2	3	6.4076	4.974	3.4076	1.974
P27797	Calreticulin OS=Homo sapiens OX=9606 GN=CALR PE=1 SV=1	CALR	3.95567	6.46751	5.30807	2.51183	1.35239
Q92600	CCR4-NOT transcription complex subunit 9 OS=Homo sapiens OX=9606 GN=CNOT9 PE=1 SV=1	RQCD1; CNOT9	4.34215	6.80071	3.82425	2.45856	-0.517898
Q07021	Complement component 1 Q subcomponent-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=C1QBP PE=1 SV=1	C1QBP	4.29913	6.22405	4.475	1.92493	0.17587
Q16531	DNA damage-binding protein 1 OS=Homo sapiens OX=9606 GN=DDB1 PE=1 SV=1	DDB1	5.02396	6.21858	5.6334	1.19463	0.609441
P55265	Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens OX=9606 GN=ADAR PE=1 SV=4	ADAR	5.03343	4.6407	5.87481	-0.392725	0.841389
Q7L2H7	Eukaryotic translation initiation factor 3 subunit M OS=Homo sapiens OX=9606 GN=EIF3M PE=1 SV=1	EIF3M	4.07595	6.39143	4.13577	2.31547	0.059815
P42285	Exosome RNA helicase MTR4 OS=Homo sapiens OX=9606 GN=MTREX PE=1 SV=3	SKIV2L2	3	5.64988	5.42798	2.64988	2.42798
